源实体（电影名称）,目标实体（电影分级）,关系类型
The Shawshank Redemption,A,有分级
The Godfather,A,有分级
The Dark Knight,UA,有分级
The Godfather: Part II,A,有分级
12 Angry Men,U,有分级
The Lord of the Rings: The Return of the King,U,有分级
Pulp Fiction,A,有分级
Schindler's List,A,有分级
Inception,UA,有分级
Fight Club,A,有分级
The Lord of the Rings: The Fellowship of the Ring,U,有分级
Forrest Gump,UA,有分级
"Il buono, il brutto, il cattivo",A,有分级
The Lord of the Rings: The Two Towers,UA,有分级
The Matrix,A,有分级
Goodfellas,A,有分级
Star Wars: Episode V - The Empire Strikes Back,UA,有分级
One Flew Over the Cuckoo's Nest,A,有分级
Hamilton,PG-13,有分级
Gisaengchung,A,有分级
Soorarai Pottru,U,有分级
Interstellar,UA,有分级
Cidade de Deus,A,有分级
Sen to Chihiro no kamikakushi,U,有分级
Saving Private Ryan,R,有分级
The Green Mile,A,有分级
La vita è bella,U,有分级
Se7en,A,有分级
The Silence of the Lambs,A,有分级
Star Wars,UA,有分级
Shichinin no samurai,U,有分级
It's a Wonderful Life,PG,有分级
Joker,A,有分级
Whiplash,A,有分级
The Intouchables,UA,有分级
The Prestige,U,有分级
The Departed,A,有分级
The Pianist,R,有分级
Gladiator,UA,有分级
American History X,R,有分级
The Usual Suspects,A,有分级
Léon,A,有分级
The Lion King,U,有分级
Terminator 2: Judgment Day,U,有分级
Nuovo Cinema Paradiso,U,有分级
Hotaru no haka,U,有分级
Back to the Future,U,有分级
Once Upon a Time in the West,U,有分级
Psycho,A,有分级
Casablanca,U,有分级
Modern Times,G,有分级
City Lights,G,有分级
Capharnaüm,A,有分级
Vikram Vedha,UA,有分级
Kimi no na wa.,U,有分级
Dangal,U,有分级
Spider-Man: Into the Spider-Verse,U,有分级
Avengers: Endgame,UA,有分级
Avengers: Infinity War,UA,有分级
Coco,U,有分级
Django Unchained,A,有分级
The Dark Knight Rises,UA,有分级
3 Idiots,UA,有分级
Taare Zameen Par,U,有分级
WALL·E,U,有分级
The Lives of Others,A,有分级
Oldeuboi,A,有分级
Memento,UA,有分级
Mononoke-hime,U,有分级
Once Upon a Time in America,A,有分级
Raiders of the Lost Ark,A,有分级
The Shining,A,有分级
Apocalypse Now,R,有分级
Alien,R,有分级
Anand,U,有分级
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,A,有分级
Witness for the Prosecution,U,有分级
Paths of Glory,A,有分级
Rear Window,U,有分级
Sunset Blvd.,Passed,有分级
The Great Dictator,Passed,有分级
1917,R,有分级
Tumbbad,A,有分级
Andhadhun,UA,有分级
Drishyam,U,有分级
Jagten,R,有分级
Jodaeiye Nader az Simin,PG-13,有分级
Incendies,R,有分级
Miracle in cell NO.7,TV-14,有分级
Inglourious Basterds,A,有分级
Eternal Sunshine of the Spotless Mind,UA,有分级
Amélie,U,有分级
Snatch,UA,有分级
Requiem for a Dream,A,有分级
American Beauty,UA,有分级
Good Will Hunting,U,有分级
Bacheha-Ye aseman,PG,有分级
Toy Story,U,有分级
Braveheart,A,有分级
Reservoir Dogs,R,有分级
Full Metal Jacket,UA,有分级
Idi i smotri,A,有分级
Aliens,U,有分级
Amadeus,R,有分级
Scarface,A,有分级
Star Wars: Episode VI - Return of the Jedi,U,有分级
Das Boot,R,有分级
Taxi Driver,A,有分级
The Sting,U,有分级
A Clockwork Orange,A,有分级
2001: A Space Odyssey,U,有分级
Per qualche dollaro in più,U,有分级
Lawrence of Arabia,U,有分级
The Apartment,U,有分级
North by Northwest,U,有分级
Vertigo,A,有分级
Singin' in the Rain,G,有分级
Double Indemnity,Passed,有分级
Citizen Kane,UA,有分级
M - Eine Stadt sucht einen Mörder,Passed,有分级
The Kid,Passed,有分级
Chhichhore,UA,有分级
Uri: The Surgical Strike,UA,有分级
K.G.F: Chapter 1,UA,有分级
Green Book,UA,有分级
"Three Billboards Outside Ebbing, Missouri",A,有分级
Talvar,UA,有分级
Baahubali 2: The Conclusion,UA,有分级
Klaus,PG,有分级
Drishyam,UA,有分级
Queen,UA,有分级
Bhaag Milkha Bhaag,U,有分级
Gangs of Wasseypur,A,有分级
Udaan,UA,有分级
Paan Singh Tomar,UA,有分级
El secreto de sus ojos,R,有分级
Warrior,UA,有分级
Shutter Island,A,有分级
Up,U,有分级
The Wolf of Wall Street,A,有分级
Chak De! India,U,有分级
There Will Be Blood,A,有分级
Pan's Labyrinth,UA,有分级
Toy Story 3,U,有分级
V for Vendetta,A,有分级
