源实体（电影名称）,目标实体（人物姓名）,关系类型
The Shawshank Redemption,Frank Darabont,由...执导
The Godfather,Francis Ford Coppola,由...执导
The Dark Knight,Christopher Nolan,由...执导
The Godfather: Part II,Francis Ford Coppola,由...执导
12 Angry Men,Sidney Lumet,由...执导
The Lord of the Rings: The Return of the King,Peter Jackson,由...执导
Pulp Fiction,Quentin Tarantino,由...执导
Schindler's List,Steven Spielberg,由...执导
Inception,Christopher Nolan,由...执导
Fight Club,David Fincher,由...执导
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,由...执导
Forrest Gump,Robert Zemeckis,由...执导
"Il buono, il brutto, il cattivo",Sergio Leone,由...执导
The Lord of the Rings: The Two Towers,Peter Jackson,由...执导
The Matrix,Lana Wachowski,由...执导
Goodfellas,Martin Scorsese,由...执导
Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,由...执导
One Flew Over the Cuckoo's Nest,Milos Forman,由...执导
Hamilton,Thomas Kail,由...执导
Gisaengchung,Bong Joon Ho,由...执导
Soorarai Pottru,Sudha Kongara,由...执导
Interstellar,Christopher Nolan,由...执导
Cidade de Deus,Fernando Meirelles,由...执导
Sen to Chihiro no kamikakushi,Hayao Miyazaki,由...执导
Saving Private Ryan,Steven Spielberg,由...执导
The Green Mile,Frank Darabont,由...执导
La vita è bella,Roberto Benigni,由...执导
Se7en,David Fincher,由...执导
The Silence of the Lambs,Jonathan Demme,由...执导
Star Wars,George Lucas,由...执导
Seppuku,Masaki Kobayashi,由...执导
Shichinin no samurai,Akira Kurosawa,由...执导
It's a Wonderful Life,Frank Capra,由...执导
Joker,Todd Phillips,由...执导
Whiplash,Damien Chazelle,由...执导
The Intouchables,Olivier Nakache,由...执导
The Prestige,Christopher Nolan,由...执导
The Departed,Martin Scorsese,由...执导
The Pianist,Roman Polanski,由...执导
Gladiator,Ridley Scott,由...执导
American History X,Tony Kaye,由...执导
The Usual Suspects,Bryan Singer,由...执导
Léon,Luc Besson,由...执导
The Lion King,Roger Allers,由...执导
Terminator 2: Judgment Day,James Cameron,由...执导
