源实体（电影名称）,目标实体（人物姓名）,关系类型
The Shawshank Redemption,Tim Robbins,由...主演
The Godfather,Marlon Brando,由...主演
The Dark Knight,Christian Bale,由...主演
The Godfather: Part II,Al Pacino,由...主演
12 Angry Men,Henry Fonda,由...主演
The Lord of the Rings: The Return of the King,Elijah Wood,由...主演
Pulp Fiction,John Travolta,由...主演
Schindler's List,Liam Neeson,由...主演
Inception,Leonardo DiCaprio,由...主演
Fight Club,Brad Pitt,由...主演
The Lord of the Rings: The Fellowship of the Ring,Elijah Wood,由...主演
Forrest Gump,Tom Hanks,由...主演
"Il buono, il brutto, il cattivo",Clint Eastwood,由...主演
The Lord of the Rings: The Two Towers,Elijah Wood,由...主演
The Matrix,Lilly Wachowski,由...主演
Goodfellas,Robert De Niro,由...主演
Star Wars: Episode V - The Empire Strikes Back,Mark Hamill,由...主演
One Flew Over the Cuckoo's Nest,Jack Nicholson,由...主演
Hamilton,Lin-Manuel Miranda,由...主演
Gisaengchung,Kang-ho Song,由...主演
Soorarai Pottru,Suriya,由...主演
Interstellar,Matthew McConaughey,由...主演
Cidade de Deus,Kátia Lund,由...主演
Sen to Chihiro no kamikakushi,Daveigh Chase,由...主演
Saving Private Ryan,Tom Hanks,由...主演
The Green Mile,Tom Hanks,由...主演
La vita è bella,Roberto Benigni,由...主演
Se7en,Morgan Freeman,由...主演
The Silence of the Lambs,Jodie Foster,由...主演
Star Wars,Mark Hamill,由...主演
Seppuku,Tatsuya Nakadai,由...主演
Shichinin no samurai,Toshirô Mifune,由...主演
It's a Wonderful Life,James Stewart,由...主演
Joker,Joaquin Phoenix,由...主演
Whiplash,Miles Teller,由...主演
The Intouchables,Éric Toledano,由...主演
The Prestige,Christian Bale,由...主演
The Departed,Leonardo DiCaprio,由...主演
The Pianist,Adrien Brody,由...主演
Gladiator,Russell Crowe,由...主演
American History X,Edward Norton,由...主演
The Usual Suspects,Kevin Spacey,由...主演
Léon,Jean Reno,由...主演
The Lion King,Rob Minkoff,由...主演
Terminator 2: Judgment Day,Arnold Schwarzenegger,由...主演
Nuovo Cinema Paradiso,Philippe Noiret,由...主演
Hotaru no haka,Tsutomu Tatsumi,由...主演
Back to the Future,Michael J. Fox,由...主演
Once Upon a Time in the West,Henry Fonda,由...主演
Psycho,Anthony Perkins,由...主演
Casablanca,Humphrey Bogart,由...主演
Modern Times,Charles Chaplin,由...主演
City Lights,Charles Chaplin,由...主演
Capharnaüm,Zain Al Rafeea,由...主演
Ayla: The Daughter of War,Erdem Can,由...主演
Vikram Vedha,Pushkar,由...主演
Kimi no na wa.,Ryûnosuke Kamiki,由...主演
Dangal,Aamir Khan,由...主演
Spider-Man: Into the Spider-Verse,Peter Ramsey,由...主演
Avengers: Endgame,Joe Russo,由...主演
Avengers: Infinity War,Joe Russo,由...主演
Coco,Adrian Molina,由...主演
Django Unchained,Jamie Foxx,由...主演
The Dark Knight Rises,Christian Bale,由...主演
3 Idiots,Aamir Khan,由...主演
Taare Zameen Par,Amole Gupte,由...主演
WALL·E,Ben Burtt,由...主演
The Lives of Others,Ulrich Mühe,由...主演
Oldeuboi,Choi Min-sik,由...主演
Memento,Guy Pearce,由...主演
Mononoke-hime,Yôji Matsuda,由...主演
Once Upon a Time in America,Robert De Niro,由...主演
Raiders of the Lost Ark,Harrison Ford,由...主演
The Shining,Jack Nicholson,由...主演
Apocalypse Now,Martin Sheen,由...主演
Alien,Sigourney Weaver,由...主演
Anand,Rajesh Khanna,由...主演
Tengoku to jigoku,Toshirô Mifune,由...主演
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Peter Sellers,由...主演
Witness for the Prosecution,Tyrone Power,由...主演
Paths of Glory,Kirk Douglas,由...主演
Rear Window,James Stewart,由...主演
Sunset Blvd.,William Holden,由...主演
The Great Dictator,Charles Chaplin,由...主演
1917,Dean-Charles Chapman,由...主演
Tumbbad,Anand Gandhi,由...主演
Andhadhun,Ayushmann Khurrana,由...主演
Drishyam,Mohanlal,由...主演
Jagten,Mads Mikkelsen,由...主演
Jodaeiye Nader az Simin,Payman Maadi,由...主演
Incendies,Lubna Azabal,由...主演
Miracle in cell NO.7,Aras Bulut Iynemli,由...主演
Babam ve Oglum,Çetin Tekindor,由...主演
Inglourious Basterds,Brad Pitt,由...主演
Eternal Sunshine of the Spotless Mind,Jim Carrey,由...主演
Amélie,Audrey Tautou,由...主演
