人物姓名,实体类型
Frank Darabont,人物
Francis Ford Coppola,人物
Christopher Nolan,人物
Sidney Lumet,人物
Peter Jackson,人物
Quentin Tarantino,人物
Steven Spielberg,人物
David Fincher,人物
Robert Zemeckis,人物
Sergio Leone,人物
Lana Wachowski,人物
Martin Scorsese,人物
Irvin Kershner,人物
Milos Forman,人物
Thomas Kail,人物
Bong Joon Ho,人物
Sudha Kongara,人物
Fernando Meirelles,人物
Hayao Miyazaki,人物
Roberto Benigni,人物
Jonathan Demme,人物
George Lucas,人物
Masaki Kobayashi,人物
Akira Kurosawa,人物
Frank Capra,人物
Todd Phillips,人物
Damien Chazelle,人物
Olivier Nakache,人物
Roman Polanski,人物
Ridley Scott,人物
Tony Kaye,人物
Bryan Singer,人物
Luc Besson,人物
Roger Allers,人物
James Cameron,人物
Giuseppe Tornatore,人物
Isao Takahata,人物
Alfred Hitchcock,人物
Michael Curtiz,人物
Charles Chaplin,人物
Nadine Labaki,人物
Can Ulkay,人物
Gayatri,人物
Makoto Shinkai,人物
Nitesh Tiwari,人物
Bob Persichetti,人物
Anthony Russo,人物
Lee Unkrich,人物
Rajkumar Hirani,人物
Aamir Khan,人物
Andrew Stanton,人物
Florian Henckel von Donnersmarck,人物
Chan-wook Park,人物
Stanley Kubrick,人物
Hrishikesh Mukherjee,人物
Billy Wilder,人物
Sam Mendes,人物
Rahi Anil Barve,人物
Sriram Raghavan,人物
Jeethu Joseph,人物
Thomas Vinterberg,人物
Asghar Farhadi,人物
Denis Villeneuve,人物
Mehmet Ada Öztekin,人物
Çagan Irmak,人物
Michel Gondry,人物
Jean-Pierre Jeunet,人物
Guy Ritchie,人物
Darren Aronofsky,人物
Gus Van Sant,人物
Majid Majidi,人物
John Lasseter,人物
Mel Gibson,人物
Elem Klimov,人物
Brian De Palma,人物
Richard Marquand,人物
Wolfgang Petersen,人物
George Roy Hill,人物
David Lean,人物
Stanley Donen,人物
Vittorio De Sica,人物
Orson Welles,人物
Fritz Lang,人物
Aditya Dhar,人物
Prashanth Neel,人物
Peter Farrelly,人物
Martin McDonagh,人物
Meghna Gulzar,人物
S.S. Rajamouli,人物
Sergio Pablos,人物
Nishikant Kamat,人物
Vikas Bahl,人物
Zaza Urushadze,人物
Rakeysh Omprakash Mehra,人物
Anurag Kashyap,人物
Vikramaditya Motwane,人物
Tigmanshu Dhulia,人物
Juan José Campanella,人物
Gavin O'Connor,人物
Pete Docter,人物
Shimit Amin,人物
Paul Thomas Anderson,人物
Guillermo del Toro,人物
James McTeigue,人物
Sanjay Leela Bhansali,人物
Ashutosh Gowariker,人物
Oliver Hirschbiegel,人物
Ron Howard,人物
Priyadarshan,人物
Curtis Hanson,人物
Yavuz Turgul,人物
Michael Mann,人物
Rajkumar Santoshi,人物
Clint Eastwood,人物
Emir Kusturica,人物
John McTiernan,人物
Andrei Tarkovsky,人物
Ingmar Bergman,人物
Moustapha Akkad,人物
Ramesh Sippy,人物
Terry Gilliam,人物
John Sturges,人物
Robert Mulligan,人物
Stanley Kramer,人物
Jules Dassin,人物
Yasujirô Ozu,人物
Joseph L. Mankiewicz,人物
John Huston,人物
Ernst Lubitsch,人物
Buster Keaton,人物
Céline Sciamma,人物
Aniruddha Roy Chowdhury,人物
Naoko Yamada,人物
Oriol Paulo,人物
Xavier Dolan,人物
Vishal Bhardwaj,人物
James Mangold,人物
Lenny Abrahamson,人物
Damián Szifron,人物
Nuri Bilge Ceylan,人物
Umesh Shukla,人物
Wes Anderson,人物
Mamoru Hosoda,人物
Anurag Basu,人物
Steve McQueen,人物
Tom McCarthy,人物
Tomm Moore,人物
Sujoy Ghosh,人物
Zoya Akhtar,人物
George Miller,人物
Neeraj Pandey,人物
David Yates,人物
Yôjirô Takita,人物
Lasse Hallström,人物
Adam Elliot,人物
Dean DeBlois,人物
Sean Penn,人物
Ethan Coen,人物
Terry George,人物
Je-kyu Kang,人物
Richard Linklater,人物
Farhan Akhtar,人物
Alejandro G. Iñárritu,人物
Hideaki Anno,人物
M. Night Shyamalan,人物
Peter Weir,人物
Joel Coen,人物
Kar-Wai Wong,人物
Danny Boyle,人物
Mathieu Kassovitz,人物
Aditya Chopra,人物
Krzysztof Kieslowski,人物
Jim Sheridan,人物
Kaige Chen,人物
Yimou Zhang,人物
Rob Reiner,人物
Oliver Stone,人物
Wim Wenders,人物
John Carpenter,人物
Alan Parker,人物
Werner Herzog,人物
David Lynch,人物
Terry Jones,人物
Michael Cimino,人物
John G. Avildsen,人物
Peter Bogdanovich,人物
Jean-Pierre Melville,人物
Stuart Rosenberg,人物
Gillo Pontecorvo,人物
Luis Buñuel,人物
Robert Aldrich,人物
John Ford,人物
François Truffaut,人物
William Wyler,人物
Federico Fellini,人物
Elia Kazan,人物
Henri-Georges Clouzot,人物
Raoul Walsh,人物
Carol Reed,人物
Michael Powell,人物
Victor Fleming,人物
Jean Renoir,人物
Carl Theodor Dreyer,人物
F.W. Murnau,人物
Clyde Bruckman,人物
Robert Wiene,人物
Amit Ravindernath Sharma,人物
Ericson Core,人物
Raja Menon,人物
Kabir Khan,人物
Garth Davis,人物
Byron Howard,人物
Stephen Chbosky,人物
Destin Daniel Cretton,人物
Gareth Evans,人物
Morten Tyldum,人物
James Gunn,人物
Spike Jonze,人物
José Padilha,人物
Tom Hooper,人物
Tate Taylor,人物
Tim Miller,人物
Wilson Yip,人物
Karan Johar,人物
Levent Semerci,人物
Joss Whedon,人物
Vincent Paronnaud,人物
Jean-Marc Vallée,人物
Gabriele Muccino,人物
Edward Zwick,人物
Paul Greengrass,人物
Ki-duk Kim,人物
Frank Miller,人物
Julian Schnabel,人物
Ömer Faruk Sorak,人物
Brad Bird,人物
Martin Campbell,人物
Andrey Zvyagintsev,人物
Alejandro Amenábar,人物
Nikkhil Advani,人物
Andrew Lau,人物
Gore Verbinski,人物
Tim Burton,人物
Jae-young Kwak,人物
Lars von Trier,人物
Yilmaz Erdogan,人物
Richard Kelly,人物
Satoshi Kon,人物
Walter Salles,人物
Thomas Jahn,人物
Billy Bob Thornton,人物
Mike Leigh,人物
Mamoru Oshii,人物
Henry Selick,人物
Harold Ramis,人物
Taylor Hackford,人物
Martin Brest,人物
Ron Clements,人物
Gary Trousdale,人物
Kevin Costner,人物
Spike Lee,人物
Barry Levinson,人物
Katsuhiro Ôtomo,人物
Louis Malle,人物
Richard Attenborough,人物
Hal Ashby,人物
Woody Allen,人物
Mel Brooks,人物
Franklin J. Schaffner,人物
William Friedkin,人物
Norman Jewison,人物
Bernardo Bertolucci,人物
Mike Nichols,人物
Robert Wise,人物
Jean-Luc Godard,人物
Robert Rossen,人物
Howard Hawks,人物
Otto Preminger,人物
Richard Brooks,人物
